,N-235-1-T,N-3-0-C,N-3-1-T,N-3-2-A,NSP12-412-2-T,NSP12-613-2-T,NSP12-912-2-C,NSP2-36-2-T,NSP3-1089-2-T,NSP3-1412-1-C,NSP3-183-1-T,NSP3-890-1-A,ORF8-27-0-T,ORF8-52-1-T,ORF8-73-1-G,S-1118-0-C,S-501-0-T,S-570-1-A,S-716-1-T,S-982-0-G
NSP3-183-1-T,-0.021991407893046606,-0.00871709723725541,-0.00805460245666749,-0.010370876679709297,-0.020306312249552008,-0.02702019348847425,-0.02459657913844796,-0.029738917932299637,-0.02123175503864839,-0.02805623466329142,1.0,-0.029662231785648325,-0.013694496950554087,-0.00982545710737766,-0.01660888699747727,-0.01666545611241771,-0.005124013956116413,-0.024117443602542442,-0.009823850279985658,-0.024635035063700187
NSP3-890-1-A,-0.019193981194136414,-0.0070992016834354925,-0.00628885423373385,-0.008123095824196897,-0.018844398257247787,-0.025687334933541153,-0.03267663937561155,-0.029905524358075974,-0.0396318065604802,-0.02807946644844585,-0.02966223178564828,1.0,-0.022955438403836684,-0.02050015060395944,-0.02123259516134529,-0.029477048548790533,-0.01004643191088749,-0.02811985784688132,-0.023011955462530733,-0.02223927587284321
ORF8-27-0-T,-0.01735745020844603,-0.00901859185906219,-0.008401629866549649,-0.011928645433715912,-0.01916931036692449,-0.01754670988464933,-0.025279515622267216,-0.01556632174037601,-0.01711623066184307,-0.01641499614881951,-0.013694496950555171,-0.02295543840383799,1.0,-0.06106360425110025,-0.039362624099723825,-0.028123222174952382,-0.008363738833818425,-0.018468310413134507,-0.01735584473889627,-0.019111784548495714
ORF8-52-1-T,-0.016920632586189373,-0.01205605558764282,-0.007174397469519278,-0.0112136822437472,-0.013291144074916281,-0.013971233630271222,-0.016533182138336308,-0.012253176502015673,-0.013195219911947468,-0.009294298134854464,-0.009825457107377422,-0.020500150603959162,-0.061063604251099746,1.0,-0.04449902149822786,-0.026282465501626016,-0.01131760111944772,-0.015716481473154093,-0.02057838438809504,-0.01482797042340766
ORF8-73-1-G,-0.02700284515377163,-0.014658301475549931,-0.013123973504096451,-0.019624711993531472,-0.022234065410782815,-0.023633586300716825,-0.028231281861163287,-0.017488409375267598,-0.017028890122242204,-0.020066781580849513,-0.016608886997477437,-0.021232595161346353,-0.039362624099722625,-0.04449902149822746,1.0,-0.025272925510091162,-0.009080800903630058,-0.02547769704215968,-0.015419690517757871,-0.0242012933278674
S-1118-0-C,-0.019159501295607253,-0.008496339560998661,-0.011367071829160628,-0.015939500612834216,-0.024520002654162668,-0.02362314535575331,-0.030656253873753064,-0.020321078090839193,-0.020796942921724383,-0.019802340621453297,-0.0166654561124175,-0.029477048548790383,-0.02812322217495374,-0.026282465501626117,-0.025272925510091117,1.0,-0.00760270927574836,-0.026165107151733077,-0.03210528241984397,-0.02497177877177627
S-501-0-T,-0.009614158752811637,0.00043227286419824306,-0.001517205119933982,-0.002251578262213,-0.007016724245435031,-0.01076310230722982,-0.009437335173698562,-0.006896053110246826,-0.009924445772464811,-0.007275412349784182,-0.005124013956116582,-0.010046431910887589,-0.00836373883381899,-0.011317601119446734,-0.009080800903630549,-0.007602709275748132,1.0,-0.013320196710366003,-0.009530014854415986,-0.0106040706311697
S-570-1-A,-0.023858887081584786,-0.010460607752633872,-0.009624558846032461,-0.014072153991766936,-0.03152529973794288,-0.02817015505001379,-0.03071536221142853,-0.02778056904961182,-0.016764545146256818,-0.026222318095475355,-0.024117443602543608,-0.028119857846880987,-0.018468310413135597,-0.01571648147315442,-0.025477697042159495,-0.026165107151733147,-0.013320196710365348,1.0,-0.015006341996157663,-0.03203636746422039
S-716-1-T,-0.01711513860669817,-0.00017520774747727987,-0.009317253819543465,-0.013461439744534552,-0.014477701384139697,-0.017920649623617613,-0.02156259031413058,-0.012478263303530001,-0.020637385335410548,-0.014869979592996246,-0.009823850279984716,-0.02301195546253143,-0.01735584473889386,-0.020578384388094687,-0.015419690517757685,-0.0321052824198449,-0.00953001485441602,-0.01500634199615707,1.0,-0.031828311646616765
S-982-0-G,-0.024160693183760875,-0.01038016701094696,-0.008698809309914911,-0.012861543794543559,-0.029118251559835565,-0.03852623675747521,-0.026326767729803097,-0.027508379933198542,-0.017612622832672346,-0.026386935830302678,-0.024635035063699462,-0.022239275872843734,-0.019111784548494954,-0.014827970423407213,-0.02420129332786818,-0.024971778771776844,-0.010604070631169043,-0.032036367464221005,-0.031828311646617896,1.0
