,N-235-1-T,N-3-0-C,N-3-1-T,N-3-2-A,NSP12-412-2-T,NSP12-613-2-T,NSP12-912-2-C,NSP2-36-2-T,NSP3-1089-2-T,NSP3-1412-1-C,NSP3-183-1-T,NSP3-890-1-A,ORF8-27-0-T,ORF8-52-1-T,ORF8-73-1-G,S-1118-0-C,S-501-0-T,S-570-1-A,S-681-1-A,S-716-1-T,S-982-0-G
NSP3-890-1-A,-0.04334663547581099,-0.02946968530971199,-0.029045148115263146,-0.03207140184880496,-0.04062479875383344,-0.04469837281485881,-0.05259652588750773,-0.04611038082538725,-0.06020288718302995,-0.03989457863029395,-0.04929715239675386,1.0,-0.04081474854720155,-0.04400658875454041,-0.040550764397041215,-0.04932418131159223,-0.04093590581924418,-0.04309704624938459,-0.04054932872145482,-0.04697336967919556,-0.04006998262379256
ORF8-27-0-T,-0.035773634134514565,-0.037806405610262175,-0.037589594856638105,-0.04093312316857718,-0.03454049962572014,-0.03341166411522019,-0.03976216642158933,-0.03573117352404356,-0.04010555035299619,-0.03144653169427741,-0.035557123889462416,-0.040814748547201345,1.0,-0.1264296679529603,-0.07479416377768519,-0.04734789703252871,-0.028860883191698453,-0.03457330674385246,-0.028418774162286303,-0.03702671499887848,-0.03179584764494807
ORF8-52-1-T,-0.03597550838189063,-0.03467182839302465,-0.034774884196357186,-0.037941551299670306,-0.03250742822229629,-0.03396102731733361,-0.03727768395058854,-0.03394744006053513,-0.039753534110154407,-0.02899410662824236,-0.034978487024173735,-0.04400658875454048,-0.1264296679529601,1.0,-0.0796209095995017,-0.04237585055241094,-0.029598316338353695,-0.03315572496604747,-0.027768327384076443,-0.03792790582429591,-0.03481443642016562
ORF8-73-1-G,-0.041073780906812705,-0.04684616783348672,-0.04650773229344728,-0.05094766295786509,-0.03969123183900885,-0.039031172997516225,-0.04583131284376258,-0.040837034228555794,-0.03781047278307408,-0.034975843393483926,-0.0413123596505631,-0.04055076439704195,-0.07479416377768548,-0.07962090959950145,1.0,-0.041223810537138764,-0.030442742560887342,-0.04178854161364074,-0.026234469641352492,-0.03537937311351959,-0.03891311505798744
S-1118-0-C,-0.03948856216424703,-0.032209823035066504,-0.03228889872108224,-0.03582185040010287,-0.0469142803992433,-0.04255976706751542,-0.04948420997804004,-0.046073227887828354,-0.046676578645562336,-0.0384040109889421,-0.041771297916555074,-0.04932418131159209,-0.04734789703252848,-0.04237585055241114,-0.04122381053713918,1.0,-0.033419378881380614,-0.045091277341306024,-0.04200539739782056,-0.04518060538188566,-0.03984627304377781
S-501-0-T,-0.035486066811625507,-0.01951667240782853,-0.019520822654415612,-0.021787366690193915,-0.029803836603105694,-0.03339068904456624,-0.034281589210309805,-0.035643192907214696,-0.037648612608536025,-0.030314075134314424,-0.03288687849479149,-0.04093590581924393,-0.028860883191698296,-0.029598316338353726,-0.030442742560887616,-0.0334193788813805,1.0,-0.05410800966281792,-0.04181505907055023,-0.03014927366609004,-0.029291810064061632
S-570-1-A,-0.04504689513016323,-0.036417034309317795,-0.036229537536281296,-0.03937097154820557,-0.05203524271873803,-0.05013160532860731,-0.05074813925596008,-0.05188823665472841,-0.04245416788532035,-0.04570745294926209,-0.05147638244514966,-0.043097046249384575,-0.03457330674385264,-0.03315572496604769,-0.04178854161364036,-0.045091277341306024,-0.05410800966281797,1.0,-0.035625947392836574,-0.036991282079029214,-0.04596217595387721
S-681-1-A,-0.02377390390130426,-0.01873505096603351,-0.018436907496813315,-0.020183507358526573,-0.02614300827083045,-0.026243456638561823,-0.032857317879089416,-0.028972231609802966,-0.03223779676132413,-0.027061245852016025,-0.02652352081254041,-0.04054932872145493,-0.028418774162286466,-0.027768327384076093,-0.026234469641352905,-0.042005397397820776,-0.041815059070550296,-0.035625947392836525,1.0,-0.0693258901212571,-0.02376625199023251
S-716-1-T,-0.0353164066842181,-0.029500907012785557,-0.02833864328646599,-0.031228687143360946,-0.03919557968661857,-0.041022106316986405,-0.039591348928007,-0.03549103262853488,-0.04213502783625411,-0.03471674142899811,-0.03700613232810951,-0.046973369679195645,-0.03702671499887815,-0.037927905824295796,-0.03537937311351962,-0.045180605381885855,-0.030149273666090198,-0.03699128207902958,-0.06932589012125699,1.0,-0.11233029858724292
S-982-0-G,-0.044047295825119875,-0.0321056603551303,-0.03178533330293213,-0.03459716126803562,-0.04893748297657513,-0.049408570202964686,-0.04284832187422459,-0.04527963599075929,-0.03572005165705779,-0.040880778184184036,-0.048492089939994834,-0.040069982623792806,-0.031795847644948264,-0.03481443642016601,-0.03891311505798743,-0.03984627304377757,-0.029291810064061827,-0.04596217595387685,-0.02376625199023242,-0.11233029858724328,1.0
